IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2007,Female,Total years,4.43813834,2.339722925,9.285809596
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2007,Male,Total years,6.691434596,3.889518563,11.40546078
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2007,Total,Total years,5.650762883,3.181598801,10.4361092
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2001,Female,Total years,4.778386532,2.561943737,9.79404477
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2001,Male,Total years,6.650744514,3.855581771,11.10702139
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2001,Total,Total years,5.7623527,3.244011853,10.485809
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2002,Female,Total years,4.600409488,2.460314911,9.347586706
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2002,Male,Total years,6.550469168,3.802824464,10.85403735
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2002,Total,Total years,5.632141508,3.173819427,10.14747129
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2008,Female,Total years,4.32006292,2.25620991,9.133815798
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2008,Male,Total years,6.62666896,3.830934018,11.26713375
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2008,Total,Total years,5.561030996,3.111718252,10.29191885
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2003,Female,Total years,4.81831871,2.568142271,9.960083501
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2003,Male,Total years,6.91034905,3.982659132,11.65528098
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2003,Total,Total years,5.932368828,3.325708006,10.86656436
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2009,Female,Total years,4.104085857,2.124543749,8.745769128
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2009,Male,Total years,6.498739338,3.750281385,11.04298585
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2009,Total,Total years,5.392252824,3.007988003,9.993441435
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2004,Female,Total years,4.7518136,2.534756459,9.874270698
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2004,Male,Total years,6.858871637,3.96637591,11.57653309
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2004,Total,Total years,5.880794574,3.30733097,10.7911131
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2005,Female,Total years,4.64978505,2.503250813,9.583109158
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2005,Male,Total years,6.83980083,3.969328931,11.56172151
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2005,Total,Total years,5.827875671,3.298434381,10.65451189
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2000,Female,Total years,4.712584308,2.520246319,9.55663146
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2000,Male,Total years,6.609608808,3.80391577,11.08949288
16BBF41,Suicide deaths,COUNTRY,064,Bhutan,YEAR,2000,Total,Total years,5.702570857,3.191593531,10.35807865
