IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Degree of urbanization,RATE_N,RATE_NL,RATE_NU
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2010,Cities,20.19291,17.40226,23.06484
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2011,Cities,18.92664,16.49745,21.77021
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2013,Cities,20.12211,17.52576,23.1843
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2016,Cities,17.95894,15.47867,20.6444
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2014,Cities,19.42202,16.94047,22.42131
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2012,Cities,19.34948,16.72282,22.2339
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2015,Cities,19.03124,16.43587,22.05089
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2018,Cities,18.51836,16.00103,21.35861
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2019,Cities,16.91202,14.56496,19.46262
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2017,Cities,17.147,14.74661,19.57352
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2010,Rural,29.8427,26.09628,33.21169
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2011,Rural,29.44569,26.35318,32.52256
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2013,Rural,31.07639,27.82245,33.98603
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2016,Rural,27.98213,25.02045,31.06421
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2014,Rural,30.09664,26.9954,33.23425
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2012,Rural,30.40651,27.22077,33.35341
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2015,Rural,29.40696,26.3463,32.33586
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2018,Rural,29.10733,26.03822,32.02556
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2019,Rural,26.43655,23.68852,29.23197
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2017,Rural,26.83435,23.90597,29.47042
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2010,Total,29.51405,25.86271,32.77781
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2011,Total,29.08522,26.08069,32.07855
F810947,Mean particulates (PM2.5) in urban areas,COUNTRY,064,Bhutan,YEAR,2013,Total,30.6965,27.53521,33.50265
