IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,1987,5.2,,
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,1999,2.6,,
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2008,4.5,3.2,6.2
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2010,5.9,5.1,6.7
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2023,5.1,,
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2008,6.3,3.1,12.4
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2010,12.4,10,15.2
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2023,5.9,,
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2008,6.1,3.8,9.6
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2010,9.2,7.7,10.8
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2010,15.1,11.7,19.3
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2008,6.7,3.9,11
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2010,6.2,4.2,9.1
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2008,6,3.9,9.2
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2010,6.2,4.7,8.1
FC5231F,Wasting in children (under 5),COUNTRY,064,Bhutan,YEAR,2023,4.8,,
